local_id,name,longitude,latitude,type,region,uuid
89940PG,ADIGE A SALORNO,11.20262,46.243333,METEO,AA,dc6353ac-8406-4bcf-9bc9-ffb78958040a
08155PG,ADIGE A ORIS,10.64963,46.621876,METEO,AA,93304599-886d-4de7-96ff-b9245a91b7b2
45200SF,Casies Malga Pfinn,12.2096,46.8417,METEO,AA,96545b21-20de-4ea6-8fe4-6efb5eadd8dd
82500WS,Corno del Renon,11.4604,46.6156,METEO,AA,d91da891-4fc9-468c-9684-53b9696cffd0
45100WS,Casies Cima Regola,12.2005,46.8561,METEO,AA,e6a3caed-843c-473b-8498-878f327a7b4b
00700WS,Curon Cima Undici,10.4878,46.7767,METEO,AA,4efc8af4-6008-4a90-a5c6-6127ee77a516
00390SF,Curon Belpiano,10.4979,46.8064,METEO,AA,5ea637da-479b-451d-9795-69db3fbde3d7
06040WS,Solda Cima Beltovo,10.6286,46.5029,METEO,AA,28cc4832-b283-4a32-821d-e90c1c93d901
06090SF,Solda Madriccio,10.6144,46.4938,METEO,AA,7b5600a4-5d3c-4e7f-8954-6058be71feb4
35100WS,Cresta del Giovo,11.3184,46.8401,METEO,AA,8cda837b-005b-4207-9778-6587ad993a51
50400WS,Predoi Pizzo Lungo,12.131,47.0159,METEO,AA,431605ee-b4f0-453f-b153-bf810540acc3
50360SF,Predoi Malga Merbe,12.1221,47.0362,METEO,AA,6cf039ad-401e-4664-9499-f0eca146a0a7
61690SF,Badia Piz La Ila,11.9036,46.565,METEO,AA,12e16f9b-f4ca-4ce6-b29a-9ea0ac79b0f0
61720WS,Badia Cima Pisciadù,11.825,46.5314,METEO,AA,779b0d13-0a83-4e04-abac-083d296e91ed
19850PG,ADIGE A TEL,11.07961,46.67202,METEO,AA,e4e5b17c-dbeb-4403-9210-81cdc1834523
29850PG,ADIGE A PONTE ADIGE,11.30381,46.48316,METEO,AA,2a880ae6-c8b0-474a-846f-4ed356adc4cb
36750PG,RIO RIDANNA A VIPITENO,11.43143,46.88395,METEO,AA,6e18f004-c5bf-43ad-8220-a4df7c13c6f8
59450PG,AURINO A S. GIORGIO,11.93472,46.81704,METEO,AA,01d273f7-17b4-4c63-b870-48dab7286cd7
64550PG,GADERA A MANTANA,11.87967,46.7761,METEO,AA,b37f033c-0f49-4c23-8ff3-d0bc75729c8a
67350PG,RIENZA A VANDOIES,11.70816,46.81555,METEO,AA,25a3ce92-17ac-4c5d-8abb-5c92c90e9af8
69790PG,ISARCO A BRESSANONE,11.6572,46.70738,METEO,AA,69c3b86d-4ad4-4a08-bf65-b8078e739a5f
