nome,quota_m_s,giacitura,tecnologia,longitude,latitude,coord_E,coord_N,coord_NU,coord_EU,data inizi,data fine,conformita,altezzapl,altezzate,presenza e,presenza_1,presenza_2,presenza_3,presenza_4
ADEGLIACCO,"139",pianura,CAE,"13.228962533665891","46.11526695278417","2383157","5108398",,,18/06/2002,,PARZIALE,"350",,RR_suff,,,,
ALESSO,"213",pianura,CAE,"13.055621770871124","46.30923472313318","2370291","5130263",,,16/06/2005,,PARZIALE,"250","400",RR_ok,LOC,,,
ALNICCO,"186",pianura,CAE,"13.165748559489954","46.11785166263679","2378279","5108796",,,18/06/2002,,PARZIALE,"260",,RR_ok,,,,
ANDREIS,"455",fondovalle,CAE,"12.61180199060478","46.1988949565309","2335748","5118938",,,30/11/2000,,PARZIALE,"220","400",RR_ok,LOC,,,RAP
ARBA,"176",pianura,CAE,"12.808211267978548","46.142629636827245","2350729","5112249",,,17/10/1990,,PARZIALE,"220","800",RR_ok,ALT,LOC,RAP,
ARZENUTTO,"65",pianura,CAE,"12.870517271033496","46.01661605994126","2355166","5098117",,,09/01/1991,,NO,"220","150",RR_suff,ALT,,,
AVIANO,"150",pianura,CAE,"12.60275686241393","46.06437645395313","2334599","5104013",,,19/05/2009,,PARZIALE,"250","350",RR_ok,LOC,,,
AZZIDA,"165",fondovalle,CAE,"13.494680309366025","46.11838363223248","2403696","5108321",,,24/09/1999,,NO,"220","400",RR_suff,ALT,,,
BALDASS,"1817",versante N,CAE,"12.572989643665496","46.24226781899073","2332901","5123848",,,24/09/2009,,NO,"300","900",RR_suff,ALT,LOC,ALT,RAP
BARCIS,"410",versante S,CAE,"12.563568149447155","46.192854355482275","2332006","5118380",,,05/11/1990,,NO,"200","400",RR_suff,ALT,ALT,RAP,
BARCIS,"468",versante SE,MICROS,"12.571003949324027","46.19321970250171","2332581","5118403","5118380","312577",02/12/2004,,PARZIALE,"200","250",RR_suff,LOC,,RAP,
BASALDELLA DI VIVARO,"140",pianura,CAE,"12.790526168435127","46.08821548411441","2349195","5106241",,,14/04/2009,,NO,"250","200",RR_ok,ALT,,,
BEVORCHIANS,"744",versante SE,CAE,"13.189556872670622","46.48617424356374","2381054","5149679",,,27/05/2004,,PARZIALE,"300","500",RR_suff,LOC,,,
BICINICCO,"33",pianura,MICROS,"13.240105816891848","45.92883615744556","2383560","5087665","5087642","363556",06/05/2008,,SI,"150","200",RR_ok,RAP,LOC,,
BIVACCO BIANCHI,"1685",versante SW,CAE,"13.248693950449233","46.45620864653041","2385519","5146247",,,01/07/2010,,NO,"350","900",RR_suff,ALT,ALT,,ALT
BOA PALOMA,"5",costa/mare,MICROS,"13.564983146094598","45.61833120517339","2408129","5052662","5052639","388125",03/10/2002,,SI,"700","900",RR_alt,RAP,RAP,RAP,
BORDANO,"230",terrazzo/pianoro,MICROS,"13.081162359806898","46.33277813431073","2372321","5132831","5132808","352317",24/08/2004,,NO,"150","300",RR_alt,ALT,,,
BORGO GROTTA GIGANTE,"275",terrazzo/pianoro,MICROS,"13.764637748260713","45.709421939705756","2423851","5062523","5062500","403847",01/08/2007,,PARZIALE,"150","200",RR_ok,LOC,RAP,RAP,
BRUGNERA,"22",pianura,MICROS,"12.544981742894995","45.91798968373441","2329629","5087885","5087863","309625",28/07/1990,,PARZIALE,"150","200",RR_ok,RAP,RAP,RAP,
CA SELVA,"498",fondovalle,CAE,"12.700631328744269","46.25865105729275","2342794","5125375",,,30/03/2010,,NO,"220","200",RR_alt,ALT,,,
CA ZUL,"600",fondovalle,CAE,"12.71606504014929","46.29222479579603","2344091","5129071",,,30/03/2010,,NO,"220","200",RR_alt,ALT,,,
CAMPONE,"430",fondovalle,CAE,"12.83067614505794","46.25914199948613","2352818","5125147",,,22/09/2009,,PARZIALE,"250","450",RR_suff,ALT,,,
CANDAGLIA,"1258",fondovalle,CAE,"12.442866139153262","46.06413979453631","2322232","5104372",,,20/05/2010,,NO,"300","900",RR_ok,ALT,ALT,,RAP
CAPRIVA D.F.,"85",terrazzo/pianoro,MICROS,"13.512319128929786","45.95813167741596","2404726","5090490","5090466","384720",28/08/1990,,PARZIALE,"180","200",RR_suff,RAP,RAP,RAP,
CASERA DEL MESTRI,"1515",versante E,CAE,"13.141124652136646","46.48128417721955","2377324","5149222",,,25/11/2011,,NO,"300","900",RR_suff,LOC,ALT,,RAP
CASERA PIELTINIS,"1742",versante SE,CAE,"12.722958975772709","46.4841502561398","2345236","5150381",,,01/10/2008,,PARZIALE,"300","900",RR_ok,LOC,LOC,,RAP
CASERA PODESTINE,"1015",fondovalle,CAE,"12.60179606329835","46.297353670402046","2335307","5129901",,,23/09/2009,,PARZIALE,"300","900",RR_ok,LOC,ALT,,RAP
