FID,id,geom,id_stazione,id_sirav,cod_eoi,nome_stazione,comune,indirizzo,provincia,tipo_stazione,tipo_zona,anno_attivazione,x_gbo,y_gbo,longitudine,latitudine,altitudine,so2,nox,co,o3,pm10,pm2_5,benzene,b_a_p,pb,as,ni,cd,h2s
v_staz_aria_attive.fid-5a23851d_17c9c4a34d3_-6fc3,2,POINT (1658859.4791172491 5033123.294356808),502315,500031115,-,VR - Giarol Grande,Verona,Via Belluno,Verona,background,urbana,2016,1658859.47911725,5033123.29435681,11.03057499,45.4334079,88,N,S,N,S,S,S,N,S,S,S,S,S,N
v_staz_aria_attive.fid-5a23851d_17c9c4a34d3_-6fc2,21,POINT (1719057.2368768603 4994941.8827845985),502901,500000079,IT1215A,RO - Largo Martiri,Rovigo,Largo Martiri,Rovigo,traffico,urbana,2001,1719057.23687686,4994941.8827846,11.78255173,45.07386941,4,S,S,S,S,S,S,S,N,N,N,N,N,N
v_staz_aria_attive.fid-5a23851d_17c9c4a34d3_-6fc1,22,POINT (1719790 4991062),502902,500000073,IT1214A,RO - Borsea,Rovigo,Via Grotto - Loc Borsea,Rovigo,background,urbana,1990,1719790,4991062,11.79015164,45.03875842,1,N,S,N,S,S,N,N,S,S,S,S,S,N
v_staz_aria_attive.fid-5a23851d_17c9c4a34d3_-6fc0,24,POINT (1756615 5087136),502604,500000016,IT1328A,Conegliano,Conegliano,Via Kennedy,Treviso,background,urbana,1991,1756615,5087136,12.30712448,45.88973369,61,N,S,N,S,S,S,N,N,N,N,N,N,N
v_staz_aria_attive.fid-5a23851d_17c9c4a34d3_-6fbf,25,POINT (1678893 5029817),502310,500000120,IT1340A,San Bonifacio,San Bonifacio,Via Fiume,Verona,traffico,urbana,1985,1678893,5029817,11.28529851,45.39883352,30,S,S,N,S,S,N,N,N,N,N,N,N,N
v_staz_aria_attive.fid-5a23851d_17c9c4a34d3_-6fbe,27,POINT (1686588 5037409),502402,500000100,IT1172A,Montebello Vicentino,Montebello Vicentino,Viale Trento,Vicenza,industriale,suburbana,1998,1686588,5037409,11.38640789,45.46510195,61,N,S,N,N,N,N,N,N,N,N,N,N,S
v_staz_aria_attive.fid-5a23851d_17c9c4a34d3_-6fbd,28,POINT (1698158 5048268),502409,500000099,IT1177A,VI - Quartiere Italia,Vicenza,Via N. Tommaseo,Vicenza,background,urbana,1998,1698158,5048268,11.53865377,45.55956112,36,N,S,N,S,S,S,N,S,S,S,S,S,N
v_staz_aria_attive.fid-5a23851d_17c9c4a34d3_-6fbc,29,POINT (1684307 5064969),502404,500000103,IT0663A,Schio,Schio,Via T. Vecellio,Vicenza,background,urbana,1985,1684307,5064969,11.3676575,45.7135591,190,N,S,N,S,S,N,S,S,S,S,S,S,N
v_staz_aria_attive.fid-5a23851d_17c9c4a34d3_-6fbb,30,POINT (1712790 5070962),502401,500000106,IT1065A,Bassano del Grappa,Bassano del Grappa,Via Muhlacker,Vicenza,background,urbana,1996,1712790,5070962,11.73585212,45.75927327,114,N,S,N,S,N,S,N,N,N,N,N,N,N
v_staz_aria_attive.fid-5a23851d_17c9c4a34d3_-6fba,31,POINT (1681555 5005854),502313,500000116,IT1535A,Legnago,Legnago,Via Togliatti,Verona,background,urbana,2001,1681555,5005854,11.31051146,45.18262647,13,N,S,N,S,S,N,N,N,N,N,N,N,N
v_staz_aria_attive.fid-5a23851d_17c9c4a34d3_-6fb9,32,POINT (1724978.062276786 5101650.471307663),502506,500000069,IT1619A,Area Feltrina,Feltre,Via Colombo,Belluno,background,suburbana,2004,1724978.06227679,5101650.47130766,11.9067452,46.03126804,356,N,S,N,S,S,S,S,S,S,S,S,S,N
v_staz_aria_attive.fid-5a23851d_17c9c4a34d3_-6fb8,34,POINT (1772641.204515439 5081945.209407552),502609,500000020,IT1596A,Mansue',Mansue',Via Cornare',Treviso,background,rurale,2004,1772641.20451544,5081945.20940755,12.51036431,45.83694273,8,N,S,N,S,S,S,N,N,N,N,N,N,N
v_staz_aria_attive.fid-5a23851d_17c9c4a34d3_-6fb7,35,POINT (1752218.9245655336 5062694.127814034),502608,500000021,IT1590A,TV - Via Lancieri di Novara,Treviso,Via Lancieri di Novara,Treviso,background,urbana,2004,1752218.92456553,5062694.12781403,12.23780608,45.6717219,15,N,S,N,S,S,S,S,S,S,S,S,S,N
v_staz_aria_attive.fid-5a23851d_17c9c4a34d3_-6fb6,36,POINT (1699500 5080460),502415,500015304,IT1791A,Asiago Cima Ekar,Asiago,Cima Ekar,Vicenza,background,rurale,2006,1699500,5080460,11.569063,45.84863644,1366,N,S,N,S,N,N,N,N,N,N,N,N,N
v_staz_aria_attive.fid-5a23851d_17c9c4a34d3_-6fb5,37,POINT (1707240.6410156249 5018512.740545945),502812,500021975,IT1870A,Parco Colli Euganei,Cinto Euganeo,Via Roma,Padova,background,rurale,2008,1707240.64101562,5018512.74054594,11.64238923,45.28937386,12,N,S,N,S,S,N,N,N,N,N,N,N,N
v_staz_aria_attive.fid-5a23851d_17c9c4a34d3_-6fb4,38,POINT (1700900.6709309893 4997702.4413923),502969,500000082,IT2072A,Badia Polesine,Badia Polesine,Loc. Villafora,Rovigo,background,rurale,2007,1700900.67093099,4997702.4413923,11.55323685,45.10407895,6,S,S,S,S,S,N,N,S,S,S,S,S,N
v_staz_aria_attive.fid-5a23851d_17c9c4a34d3_-6fb3,96,POINT (1709336 5011637),502811,500021960,IT1871A,Este,Este,Via Stazie Bragadine,Padova,industriale,suburbana,2008,1709336,5011637,11.66618381,45.22692911,10,S,S,S,S,S,S,N,S,S,S,S,S,N
v_staz_aria_attive.fid-5a23851d_17c9c4a34d3_-6fb2,33,POINT (1759537.6184384301 5117619.765569197),502507,500015004,IT1790A,Pieve d'Alpago,Pieve d'Alpago,Via 1 Maggio - Loc.Villa,Belluno,background,rurale,2006,1759537.61843843,5117619.7655692,12.36130548,46.16252572,690,N,S,N,S,S,N,S,N,N,N,N,N,N
